latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
42.99436,-4.82694,352.96,0.42,0.45,2025-08-16,145,N21,VIIRS,n,2.0NRT,293.72,23.4,N
42.99484,-4.81993,338.3,0.42,0.45,2025-08-16,145,N21,VIIRS,n,2.0NRT,292.39,7.2,N
42.99486,-4.83234,339.48,0.42,0.45,2025-08-16,145,N21,VIIRS,n,2.0NRT,293.04,20.13,N
42.99531,-4.82538,367,0.42,0.45,2025-08-16,145,N21,VIIRS,h,2.0NRT,304.08,23.74,N
42.9954,-4.83817,340.03,0.42,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,308.94,20.13,N
42.99577,-4.83063,355.18,0.42,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,298.56,23.74,N
42.99592,-4.84376,351.99,0.42,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,297.5,15.05,N
42.99627,-4.83653,351.3,0.42,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,304.99,43.77,N
42.99637,-4.78889,337.94,0.42,0.45,2025-08-16,145,N21,VIIRS,n,2.0NRT,292.19,3.9,N
42.99641,-4.84905,367,0.42,0.46,2025-08-16,145,N21,VIIRS,h,2.0NRT,299.58,15.05,N
42.99676,-4.84211,355.67,0.42,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,314.01,43.77,N
42.99692,-4.8546,367,0.42,0.46,2025-08-16,145,N21,VIIRS,h,2.0NRT,299.2,13.66,N
42.99722,-4.84738,367,0.42,0.46,2025-08-16,145,N21,VIIRS,h,2.0NRT,302.2,22.98,N
42.99742,-4.85996,367,0.43,0.46,2025-08-16,145,N21,VIIRS,h,2.0NRT,301.3,13.66,N
42.99744,-4.80122,338.53,0.42,0.45,2025-08-16,145,N21,VIIRS,n,2.0NRT,295.35,6.53,N
42.99746,-4.81476,333.77,0.42,0.45,2025-08-16,145,N21,VIIRS,n,2.0NRT,292.19,9.67,N
42.9977,-4.853,354.56,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,304.48,22.98,N
42.99789,-4.86517,350.24,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,307.41,15.73,N
42.998,-4.82066,350.39,0.42,0.45,2025-08-16,145,N21,VIIRS,n,2.0NRT,310.22,23.4,N
42.99816,-4.85834,367,0.43,0.46,2025-08-16,145,N21,VIIRS,h,2.0NRT,307.96,24.62,N
42.99837,-4.87039,355.45,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,305.19,15.73,N
42.99848,-4.82579,346.7,0.42,0.45,2025-08-16,145,N21,VIIRS,n,2.0NRT,301.48,23.4,N
42.99862,-4.86358,348.58,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,308.5,24.62,N
42.99884,-4.87548,351.81,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,305.73,21.14,N
42.99897,-4.83103,367,0.42,0.45,2025-08-16,145,N21,VIIRS,h,2.0NRT,300.52,20.13,N
42.99897,-4.81887,353.8,0.42,0.45,2025-08-16,145,N21,VIIRS,n,2.0NRT,307.92,31.8,N
42.99906,-4.86876,355.45,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,311.81,28.62,N
42.99935,-4.88101,339.86,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,299.24,21.14,N
42.99943,-4.82413,325.08,0.42,0.45,2025-08-16,145,N21,VIIRS,n,2.0NRT,297.23,6.82,N
42.99949,-4.83672,341.07,0.42,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,296.68,20.13,N
42.99951,-4.87392,348.99,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,303.72,28.62,N
42.99987,-4.82917,311.44,0.42,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,292.82,6.82,N
42.99996,-4.87921,352.9,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,309.73,37.01,N
43,-4.84219,341.11,0.42,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,298.1,15.05,N
43.00035,-4.83474,317.63,0.42,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,293.22,3.91,N
43.00051,-4.84764,319.08,0.42,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,295.64,15.05,N
43.0006,-4.78899,307.09,0.42,0.45,2025-08-16,145,N21,VIIRS,n,2.0NRT,291.35,3.9,N
43.00102,-4.85319,331.95,0.42,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,296.51,13.66,N
43.00152,-4.85857,314.39,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,295.21,13.66,N
43.0018,-4.85141,303.84,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,291.15,2.55,N
43.002,-4.86376,307.15,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,294.81,15.73,N
43.00215,-4.80672,338.72,0.42,0.45,2025-08-16,145,N21,VIIRS,n,2.0NRT,293.77,6.53,N
43.00245,-4.86875,306.87,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,294.68,15.73,N
43.00295,-4.87415,333.46,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,299.97,21.14,N
43.00349,-4.87994,349.64,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,303.5,21.14,N
43.00362,-4.87253,308.09,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,293.85,3.02,N
43.00408,-4.88626,339.99,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,293.04,17.11,N
43.00412,-4.87821,341.24,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,301.37,17.87,N
43.00467,-4.88464,355.82,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,304.64,17.87,N
43.00747,-4.77113,334.28,0.42,0.45,2025-08-16,145,N21,VIIRS,n,2.0NRT,290.2,7.73,N
43.00805,-4.77775,324.18,0.42,0.45,2025-08-16,145,N21,VIIRS,n,2.0NRT,290.77,6.25,N
43.00836,-4.87823,311.05,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,293.47,17.87,N
43.00885,-4.88396,354.72,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,300.97,17.87,N
43.01631,-4.87209,338.08,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,296.06,8.29,N
43.01673,-4.87695,367,0.43,0.46,2025-08-16,145,N21,VIIRS,h,2.0NRT,299.77,15.85,N
43.01714,-4.8817,367,0.43,0.46,2025-08-16,145,N21,VIIRS,h,2.0NRT,297.15,15.85,N
43.01758,-4.88665,312.75,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,291.35,4.12,N
43.02126,-4.88023,324.56,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,300.67,30.43,N
43.02167,-4.88496,354.64,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,313.56,17.68,N
43.02216,-4.89053,321.8,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,292.23,17.68,N
43.02579,-4.88352,307.89,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,292.19,17.68,N
43.02624,-4.88863,338.81,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,297.36,17.68,N
43.02733,-4.75741,305.06,0.42,0.45,2025-08-16,145,N21,VIIRS,n,2.0NRT,288.41,11.51,N
43.03039,-4.88758,306.91,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,293.1,2.48,N
43.03088,-4.8932,308.01,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,294.53,6.86,N
43.03094,-4.75069,324.7,0.42,0.45,2025-08-16,145,N21,VIIRS,n,2.0NRT,287.06,11.51,N
43.03136,-4.89866,325.02,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,296.38,6.86,N
43.03156,-4.75745,339.96,0.42,0.45,2025-08-16,145,N21,VIIRS,n,2.0NRT,299.77,11.51,N
43.03183,-4.90399,367,0.43,0.46,2025-08-16,145,N21,VIIRS,h,2.0NRT,308.95,17.1,N
43.0323,-4.90937,340.86,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,297.01,17.1,N
43.03379,-4.87798,310.61,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,296.17,4.54,N
43.03423,-4.88299,311.07,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,295.74,2.48,N
43.03468,-4.88811,317.38,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,298.49,2.48,N
43.03479,-4.84128,339.61,0.42,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,298.07,11.26,N
43.03513,-4.89325,316.86,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,298.45,6.86,N
43.03531,-4.84714,338.2,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,296.26,11.26,N
43.03557,-4.89825,367,0.43,0.46,2025-08-16,145,N21,VIIRS,h,2.0NRT,322.5,6.86,N
43.036,-4.90313,367,0.43,0.46,2025-08-16,145,N21,VIIRS,h,2.0NRT,329.95,17.1,N
43.03628,-4.76314,305.39,0.42,0.45,2025-08-16,145,N21,VIIRS,n,2.0NRT,288.77,1.09,N
43.03642,-4.90796,367,0.43,0.46,2025-08-16,145,N21,VIIRS,h,2.0NRT,318.31,17.1,N
43.03671,-4.86297,317.82,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,294.72,6.45,N
43.03685,-4.91287,367,0.43,0.46,2025-08-16,145,N21,VIIRS,h,2.0NRT,311.17,9.2,N
43.03715,-4.868,331.27,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,294.33,6.45,N
43.03728,-4.91775,306.77,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,290,9.2,N
43.03758,-4.87284,313.71,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,294.98,15.87,N
43.03766,-4.77852,299.79,0.42,0.45,2025-08-16,145,N21,VIIRS,n,2.0NRT,286.8,0.92,N
43.03803,-4.87798,367,0.43,0.46,2025-08-16,145,N21,VIIRS,h,2.0NRT,305.98,15.87,N
43.03849,-4.88321,328.53,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,301.01,19.06,N
43.03893,-4.88818,354.58,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,314.76,19.06,N
43.03936,-4.89308,350.11,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,317.9,55.01,N
43.03979,-4.89796,354.1,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,334.76,55.01,N
43.04021,-4.90281,354.49,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,339.49,78.41,N
43.04063,-4.90754,352.64,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,337.61,78.41,N
43.04086,-4.86195,305.68,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,292.74,6.45,N
43.04105,-4.91226,341.38,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,335.22,36.08,N
43.04128,-4.86672,346.02,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,303.25,6.45,N
43.04148,-4.9172,367,0.43,0.46,2025-08-16,145,N21,VIIRS,h,2.0NRT,308.33,36.08,N
43.04171,-4.87159,345.09,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,297.04,15.87,N
43.04192,-4.92222,301.37,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,289.32,3.57,N
43.04216,-4.87664,346.89,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,310.67,15.87,N
43.04262,-4.88196,367,0.43,0.46,2025-08-16,145,N21,VIIRS,h,2.0NRT,329.06,19.06,N
43.04311,-4.88737,353.87,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,320.14,19.06,N
43.04356,-4.89256,367,0.43,0.46,2025-08-16,145,N21,VIIRS,h,2.0NRT,349.82,55.01,N
43.04401,-4.89766,367,0.43,0.46,2025-08-16,145,N21,VIIRS,h,2.0NRT,352.08,55.01,N
43.04445,-4.90271,367,0.43,0.46,2025-08-16,145,N21,VIIRS,h,2.0NRT,352.49,78.41,N
43.04487,-4.90741,338.58,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,335.54,78.41,N
43.045,-4.86089,341.47,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,299.31,14.06,N
43.04527,-4.91199,347.66,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,297.38,36.08,N
43.04528,-4.81651,315.54,0.42,0.45,2025-08-16,145,N21,VIIRS,n,2.0NRT,293.93,2.5,N
43.04541,-4.86549,367,0.43,0.46,2025-08-16,145,N21,VIIRS,h,2.0NRT,305,14.06,N
43.04571,-4.91694,319.87,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,292.48,36.08,N
43.04583,-4.87026,344.82,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,308.77,62.54,N
43.04628,-4.87531,367,0.43,0.46,2025-08-16,145,N21,VIIRS,h,2.0NRT,336.53,62.54,N
43.04676,-4.8807,355.83,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,326.24,70.74,N
43.04688,-4.83432,337.28,0.42,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,295.22,8.17,N
43.04726,-4.88641,347.86,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,325.79,70.74,N
43.04736,-4.83977,314.07,0.42,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,294.58,7.11,N
43.04774,-4.89178,367,0.43,0.46,2025-08-16,145,N21,VIIRS,h,2.0NRT,342,72.25,N
